action_id,loan_id,action_date_key,reference_month_end_date_key,dpd_at_action,action_type,outcome,collector_id,collection_team,amount_recovered
1,113,20251015,20251031,360,Field Visit,Reached,15,In-house,0.0
2,1252,20251221,20251231,189,SMS Reminder,Paid Partial,29,In-house,5215.69
3,2072,20250616,20250630,146,Phone Call,PTP Broken,2,In-house,0.0
4,2329,20250424,20250430,61,SMS Reminder,No Answer,35,Agency B,0.0
5,2219,20250109,20250131,235,Field Visit,PTP Given,18,Agency A,0.0
6,3903,20250414,20250430,274,Phone Call,PTP Broken,23,Agency A,0.0
7,170,20251023,20251031,83,Promise to Pay,Paid Full,24,In-house,28458.36
8,831,20251128,20251130,207,Field Visit,PTP Given,57,In-house,0.0
9,1026,20250828,20250831,228,SMS Reminder,No Answer,10,Agency A,0.0
10,3619,20251230,20251231,104,Restructure Offer,PTP Broken,8,Agency A,0.0
11,937,20251011,20251031,56,SMS Reminder,No Answer,63,In-house,0.0
12,1517,20250611,20250630,38,SMS Reminder,Reached,15,In-house,0.0
13,1323,20250512,20250531,169,Phone Call,Paid Full,17,In-house,33078.22
14,2800,20251217,20251231,48,Restructure Offer,No Answer,10,Agency A,0.0
15,3623,20251126,20251130,58,Promise to Pay,PTP Given,24,In-house,0.0
16,2869,20250809,20250831,165,Phone Call,PTP Broken,30,In-house,0.0
17,1529,20250724,20250731,67,Field Visit,PTP Given,19,In-house,0.0
18,2355,20250205,20250228,91,Field Visit,Paid Full,20,In-house,60505.62
19,2497,20251025,20251031,30,Phone Call,No Answer,17,In-house,0.0
20,3231,20250714,20250731,314,SMS Reminder,Paid Partial,1,In-house,11712.01
21,2446,20251108,20251130,226,Phone Call,Paid Partial,50,In-house,16630.44
22,2907,20251210,20251231,360,Phone Call,Paid Partial,33,Agency B,17583.02
23,3130,20250810,20250831,126,Promise to Pay,Reached,15,In-house,0.0
24,2111,20250914,20250930,67,Field Visit,PTP Broken,39,Agency B,0.0
25,3627,20250811,20250831,72,Restructure Offer,Paid Partial,21,In-house,22618.39
26,3942,20240816,20240831,49,SMS Reminder,No Answer,25,In-house,0.0
27,2355,20250519,20250531,182,Field Visit,PTP Broken,30,In-house,0.0
28,2884,20241110,20241130,70,SMS Reminder,Paid Partial,54,In-house,3796.32
29,2999,20250711,20250731,95,Phone Call,Restructured,26,In-house,0.0
30,2275,20250807,20250831,305,Demand Letter,PTP Given,5,Agency A,0.0
31,1671,20251225,20251231,360,Promise to Pay,PTP Given,52,In-house,0.0
32,973,20250615,20250630,121,SMS Reminder,Escalated,5,In-house,0.0
33,74,20251230,20251231,128,SMS Reminder,PTP Broken,26,In-house,0.0
34,556,20240621,20240630,32,Restructure Offer,PTP Given,49,In-house,0.0
35,3859,20250925,20250930,34,Restructure Offer,PTP Broken,8,In-house,0.0
36,1241,20240827,20240831,53,SMS Reminder,PTP Broken,28,Agency B,0.0
37,354,20250730,20250731,171,SMS Reminder,No Answer,50,Agency A,0.0
38,1381,20250116,20250131,134,Phone Call,No Answer,22,In-house,0.0
39,2975,20240906,20240930,31,Demand Letter,PTP Broken,9,In-house,0.0
40,1965,20240531,20240531,52,Restructure Offer,Reached,26,In-house,0.0
41,740,20250109,20250131,64,SMS Reminder,Paid Partial,30,In-house,15310.98
42,3135,20251125,20251130,173,Promise to Pay,Escalated,33,In-house,0.0
43,2632,20240419,20240430,33,Field Visit,Reached,44,In-house,0.0
44,2559,20250714,20250731,287,Legal Notice,No Answer,2,In-house,0.0
45,144,20240924,20240930,44,Demand Letter,Paid Full,59,In-house,30959.25
46,486,20241119,20241130,75,Promise to Pay,No Answer,64,Agency B,0.0
47,3907,20250422,20250430,74,Promise to Pay,Escalated,6,In-house,0.0
48,3161,20241122,20241130,244,Promise to Pay,Restructured,7,In-house,0.0
49,2186,20250708,20250731,99,Phone Call,Escalated,45,Agency B,0.0
