snapshot_id,snapshot_month_end_date_key,loan_id,dpd,aging_bucket,is_npl,ecl_stage,outstanding_balance,provision_amount,provision_rate
1,20250131,1,0,Current,False,1,40034.17,748.35,0.0187
2,20250228,1,0,Current,False,1,36097.34,1521.02,0.0421
3,20250331,1,0,Current,False,1,37231.5,920.91,0.0247
4,20250430,1,0,Current,False,1,31208.09,530.7,0.017
5,20250531,1,0,Current,False,1,29136.98,1337.63,0.0459
6,20250630,1,0,Current,False,1,27298.08,543.25,0.0199
7,20250731,1,0,Current,False,1,28432.25,1364.06,0.048
8,20250831,1,0,Current,False,1,26019.56,747.16,0.0287
9,20250930,1,0,Current,False,1,21005.34,210.05,0.01
10,20251031,1,0,Current,False,1,17901.67,558.35,0.0312
11,20251130,1,0,Current,False,1,15604.66,370.11,0.0237
12,20251231,1,0,Current,False,1,13579.03,459.6,0.0338
13,20250430,2,25,1-30,False,1,20438.47,204.38,0.01
14,20250531,2,61,61-90,False,2,25876.95,2840.4,0.1098
15,20250630,2,91,90+,True,3,31315.42,15278.44,0.4879
16,20250731,2,112,90+,True,3,36753.9,17530.64,0.477
17,20250831,2,138,90+,True,3,42192.37,19734.67,0.4677
18,20250930,2,158,90+,True,3,47630.85,20898.1,0.4388
19,20251031,2,181,90+,True,3,53069.32,25258.77,0.476
20,20251130,2,217,90+,True,3,58507.8,25470.44,0.4353
21,20251231,2,231,90+,True,3,63946.27,28411.79,0.4443
22,20250430,3,23,1-30,False,1,228842.87,15277.61,0.0668
23,20250531,3,60,31-60,False,2,225470.5,51418.35,0.228
24,20250630,3,43,31-60,False,2,212307.18,35931.78,0.1692
25,20250731,3,38,31-60,False,2,199518.48,39324.75,0.1971
26,20250831,3,19,1-30,False,1,185015.68,12160.13,0.0657
27,20250930,3,41,31-60,False,2,192558.54,39290.32,0.204
28,20251031,3,18,1-30,False,1,178316.71,14602.98,0.0819
29,20251130,3,0,Current,False,1,163453.07,15292.6,0.0936
30,20251231,3,17,1-30,False,1,170995.94,8693.58,0.0508
31,20240131,4,35,31-60,False,2,225261.8,28824.76,0.128
