loan_id,customer_id,branch_id,product_id,origination_date_key,maturity_date_key,original_principal,annual_interest_rate,term_months,repayment_frequency,status,scheduled_installment
1,1438,17,6,20250129,20260424,38900.0,0.3508,15,Monthly,Closed,3240.48
2,2107,18,8,20250417,20250517,15000.0,0.4308,1,Monthly,Active,15538.5
3,752,18,3,20250415,20260410,221300.0,0.2979,12,Monthly,Active,21551.05
4,403,12,7,20240131,20241027,216200.0,0.183,9,Monthly,Active,25890.87
5,789,18,5,20250603,20251001,101500.0,0.3349,4,Monthly,Active,27169.8
6,1486,15,1,20240218,20250712,297100.0,0.3394,17,Monthly,Active,22254.74
7,581,5,6,20240906,20260228,462900.0,0.25,18,Bi-Weekly,Active,31103.09
8,1000,1,8,20250607,20251204,190000.0,0.3681,6,Monthly,Closed,35152.03
9,642,18,4,20251010,20260905,95700.0,0.2414,11,Monthly,Active,9784.92
10,2465,8,5,20250409,20251205,133000.0,0.2896,8,Monthly,Active,18480.67
11,1282,16,8,20240426,20241023,92300.0,0.3727,6,Monthly,Active,17098.16
12,1804,6,8,20250512,20251009,139500.0,0.3974,5,Monthly,Active,30732.04
13,1301,7,4,20240128,20240726,136000.0,0.219,6,Monthly,Active,24136.32
14,27,15,7,20240617,20250314,51200.0,0.1591,9,Monthly,Active,6072.64
15,660,10,6,20240331,20250624,201100.0,0.2906,15,Monthly,Closed,16148.69
16,2099,13,6,20251220,20281005,677500.0,0.2966,34,Monthly,Active,29689.85
17,1279,6,6,20240926,20260218,177300.0,0.2601,17,Bi-Weekly,Active,12580.01
18,1758,12,3,20250212,20250612,165900.0,0.3698,4,Bi-Weekly,Active,44718.78
19,1905,9,3,20250731,20260226,180600.0,0.3302,7,Bi-Weekly,WrittenOff,28716.76
20,1403,17,1,20251209,20261104,243500.0,0.2699,11,Monthly,Active,25234.3
21,1444,9,7,20251228,20260924,173700.0,0.2486,9,Weekly,Closed,21353.78
22,591,2,3,20240430,20241226,163000.0,0.3043,8,Bi-Weekly,Closed,22767.92
