payment_id,loan_id,payment_date_key,amount_paid,payment_channel
1,1,20250220,5071.0,Cash
2,1,20250405,3107.27,Cash
3,1,20250429,4050.31,M-Pesa
4,1,20250529,3205.28,Cash
5,1,20250623,2973.07,M-Pesa
6,1,20250802,3546.85,M-Pesa
7,1,20250901,3244.5,Cash
8,1,20250926,2903.89,M-Pesa
9,1,20251020,4237.84,Cash
10,1,20251125,3431.18,Cash
11,1,20251231,3159.8,Bank Transfer
12,3,20250516,10915.23,Cash
13,3,20250621,20706.19,M-Pesa
14,3,20250723,20331.57,Standing Order
15,3,20250816,22045.67,Cash
16,3,20251011,21784.7,M-Pesa
17,3,20251116,22406.51,M-Pesa
18,4,20240229,24174.96,M-Pesa
19,4,20240331,24961.39,M-Pesa
20,4,20240426,31022.31,M-Pesa
21,4,20240528,14062.47,M-Pesa
22,4,20240627,28379.1,M-Pesa
23,4,20240803,25026.47,Bank Transfer
24,4,20240828,25420.65,M-Pesa
25,4,20240929,31594.69,Cash
26,5,20250704,26424.99,M-Pesa
27,5,20250907,39095.46,Standing Order
28,6,20240318,32777.0,M-Pesa
29,6,20240420,19981.21,Standing Order
30,6,20240521,22976.88,M-Pesa
31,6,20240617,17290.69,M-Pesa
32,6,20240717,22822.87,Bank Transfer
33,6,20240816,15723.27,M-Pesa
34,6,20240914,23628.22,Bank Transfer
35,6,20241014,22750.74,Cash
36,6,20241120,22883.17,Cash
37,6,20241219,22153.5,M-Pesa
38,6,20250113,21601.32,M-Pesa
39,6,20250212,22153.86,Bank Transfer
40,6,20250321,21296.91,Bank Transfer
41,6,20250413,21884.6,Bank Transfer
42,7,20241001,29582.21,M-Pesa
43,7,20241114,31744.4,Standing Order
44,7,20241205,31910.59,Cash
45,7,20250108,27982.75,M-Pesa
46,7,20250203,13226.91,M-Pesa
47,7,20250307,30537.85,M-Pesa
48,7,20250401,30725.24,Cash
49,7,20250508,42657.72,M-Pesa
50,7,20250601,31376.18,Bank Transfer
51,7,20250704,29977.89,M-Pesa
52,7,20250730,23564.92,M-Pesa
53,7,20250904,33271.78,M-Pesa
54,7,20251002,32285.54,M-Pesa
55,7,20251103,31065.21,M-Pesa
56,8,20250707,35237.0,M-Pesa
57,8,20250808,18841.26,Bank Transfer
58,8,20250903,36745.75,Standing Order
59,8,20251005,35188.52,M-Pesa
60,8,20251031,32774.62,M-Pesa
61,8,20251128,37114.81,M-Pesa
62,9,20251109,9987.0,Bank Transfer
63,10,20250514,18908.64,M-Pesa
64,10,20250712,19712.58,M-Pesa
65,11,20240526,15828.62,M-Pesa
66,11,20240630,17222.73,Cash
67,11,20240730,20397.98,Bank Transfer
68,11,20240823,17094.68,M-Pesa
69,11,20241002,17560.2,M-Pesa
70,12,20250609,31337.17,Standing Order
71,13,20240325,23537.63,M-Pesa
72,13,20240429,25627.24,M-Pesa
73,13,20240526,23750.46,M-Pesa
74,14,20240720,6628.52,M-Pesa
75,14,20240826,5372.04,M-Pesa
76,14,20240916,3056.5,Cash
77,14,20241015,5859.85,Bank Transfer
78,15,20240426,14753.88,Bank Transfer
79,15,20240603,15622.27,Cash
80,15,20240703,11686.89,M-Pesa
81,15,20240728,16434.33,M-Pesa
82,15,20240824,15600.41,M-Pesa
83,15,20240927,16452.5,Bank Transfer
84,15,20241029,16708.59,M-Pesa
85,15,20241202,15451.65,Bank Transfer
86,15,20241231,16124.87,M-Pesa
87,15,20250129,16930.97,M-Pesa
88,15,20250220,20631.28,Bank Transfer
89,15,20250330,15808.28,M-Pesa
90,15,20250426,24601.37,M-Pesa
91,15,20250526,15504.75,M-Pesa
92,15,20250624,12410.48,M-Pesa
93,17,20241121,12337.06,M-Pesa
94,17,20241225,11791.03,M-Pesa
95,17,20250127,13466.27,Standing Order
96,17,20250219,12296.39,M-Pesa
97,17,20250401,12615.33,M-Pesa
98,17,20250503,12271.73,Standing Order
99,17,20250522,15891.09,M-Pesa
100,17,20250615,12594.94,Bank Transfer
101,17,20250729,12666.96,M-Pesa
102,17,20250820,12836.27,M-Pesa
103,18,20250315,45684.5,M-Pesa
104,18,20250412,42670.53,Cash
105,18,20250512,46937.07,M-Pesa
106,22,20240603,25271.52,M-Pesa
107,22,20240701,16103.1,M-Pesa
108,22,20240723,23334.66,Cash
109,22,20240828,16594.55,M-Pesa
110,22,20240929,21077.35,M-Pesa
111,22,20241027,23343.51,M-Pesa
112,22,20241204,22833.5,M-Pesa
113,22,20241221,17515.12,Bank Transfer
114,23,20241218,7965.92,M-Pesa
115,23,20250114,8212.17,M-Pesa
116,23,20250212,9438.9,Cash
117,24,20241122,28342.05,Bank Transfer
118,24,20250101,31903.62,M-Pesa
119,24,20250127,28250.34,M-Pesa
120,24,20250222,22044.27,M-Pesa
121,24,20250325,27280.41,M-Pesa
122,24,20250425,30486.3,Cash
123,24,20250515,29547.72,M-Pesa
124,24,20250617,29279.67,Bank Transfer
125,24,20250712,31837.88,M-Pesa
126,24,20250815,29527.37,Bank Transfer
127,24,20250913,43761.48,M-Pesa
128,24,20251027,36189.72,M-Pesa
